STATION,year,dens.weight.mean,SAVArea,dens.weight.mean.y1,SAVArea.y1,dens.change,SAVArea.change,dens.prop.change,SAVArea.prop.change,denscomp.max,dens.percomp,dens.percomp.y1,dens.percomp.change,SAVArea.percomp,SAVArea.percomp.y1,SAVArea.percomp.change
CB5.3,1987,121.30353561449999,178.96883529,184.490293648,360.85855312,-63.18675803350001,-181.88971783000002,-0.3424936715318898,-0.5040471294288938,417.87029230300004,0.2902899245264895,0.4415013391625004,-0.1512114146360109,0.2942279875060197,0.5932579584975614,-0.29902997099154166
CB5.3,1989,243.828874939,353.86537834,121.30353561449999,178.96883529,122.52533932450001,174.89654305000002,1.0100722844046597,0.9772458024135808,417.87029230300004,0.583503731732617,0.2902899245264895,0.29321380720612755,0.581761053248873,0.2942279875060197,0.28753306574285326
CB5.3,1990,146.78315647350001,362.32868241,243.828874939,353.86537834,-97.04571846549999,8.463304069999992,-0.39800748984212164,0.023916733842970935,417.87029230300004,0.3512648761522074,0.583503731732617,-0.23223885558040963,0.5956748775196328,0.581761053248873,0.013913824270759738
CB5.3,1991,174.541556102,419.86629532,146.78315647350001,362.32868241,27.758399628499973,57.53761291000001,0.1891116139985137,0.15879949808911958,417.87029230300004,0.41769314382233935,0.3512648761522074,0.06642826767013196,0.6902677490940482,0.5956748775196328,0.09459287157441545
CB5.3,1992,112.33984254200001,407.72404628000004,174.541556102,419.86629532,-62.20171355999997,-12.142249039999967,-0.35637194344509016,-0.02891932306865876,417.87029230300004,0.2688390263946827,0.41769314382233935,-0.14885411742765664,0.6703056730541215,0.6902677490940482,-0.019962076039926665
CB5.3,1993,54.5158764265,392.09239849,112.33984254200001,407.72404628000004,-57.82396611550001,-15.631647790000045,-0.5147235816525345,-0.038338792947387706,417.87029230300004,0.13046123984083138,0.2688390263946827,-0.13837778655385136,0.6446069626434402,0.6703056730541215,-0.025698710410681325
CB5.3,1994,90.63287143400001,253.5434635,54.5158764265,392.09239849,36.11699500750001,-138.54893499,0.6625041616306777,-0.3533578705518658,417.87029230300004,0.21689235416688013,0.13046123984083138,0.08643111432604876,0.4168300189808481,0.6446069626434402,-0.22777694366259213
CB5.3,1995,79.7670158045,233.85212147,90.63287143400001,253.5434635,-10.865855629500004,-19.691342030000015,-0.1198886834056963,-0.07766456195783575,417.87029230300004,0.1908894153850509,0.21689235416688013,-0.026002938781829247,0.38445709814582413,0.4168300189808481,-0.032372920835023924
CB5.3,1996,85.44419579650001,240.04383747,79.7670158045,233.85212147,5.677179992000006,6.191716000000014,0.07117202436047171,0.02647705721495593,417.87029230300004,0.20447540150699192,0.1908894153850509,0.013585986121941045,0.3946363907301271,0.38445709814582413,0.010179292584302913
CB5.3,1997,8.6209414295,148.62842251,85.44419579650001,240.04383747,-76.823254367,-91.41541495999999,-0.8991044230782831,-0.3808280017662392,417.87029230300004,0.020630663601347635,0.20447540150699192,-0.18384473790564426,0.24434780262413197,0.3946363907301271,-0.15028858810599507
CB5.3,1998,17.861784919,85.81442514000001,8.6209414295,148.62842251,9.240843489500001,-62.813997369999996,1.0719065388704252,-0.42262439652667205,417.87029230300004,0.04274480681686824,0.020630663601347635,0.022114143215520608,0.14108045999748983,0.24434780262413197,-0.10326734262664215
CB5.3,1999,44.7484773465,181.59407343,17.861784919,85.81442514000001,26.8866924275,95.77964829,1.5052634744750506,1.1161252683769942,417.87029230300004,0.10708700324179216,0.04274480681686824,0.06434219642492392,0.298543926274938,0.14108045999748983,0.15746346627744812
CB5.3,2000,101.4831203325,234.86887451,44.7484773465,181.59407343,56.73464298599999,53.27480108,1.2678563908820348,0.2933730163861108,417.87029230300004,0.24285794468230354,0.10708700324179216,0.13577094144051138,0.3861286584499692,0.298543926274938,0.08758473217503122
CB5.3,2001,90.1421647355,270.52962159,101.4831203325,234.86887451,-11.34095559699999,35.660747079999965,-0.11175213729970467,0.151832579580406,417.87029230300004,0.21571805030384267,0.24285794468230354,-0.027139894378460868,0.4447555687123495,0.3861286584499692,0.05862691026238035
CB5.3,2002,178.135543964,322.32876626,90.1421647355,270.52962159,87.99337922849999,51.79914467000003,0.9761622597670568,0.1914730977168334,417.87029230300004,0.4262938697609854,0.21571805030384267,0.2105758194571427,0.529914295180515,0.4447555687123495,0.08515872646816552
CB5.3,2003,50.008899556,220.83434868,178.135543964,322.32876626,-128.126644408,-101.49441758,-0.7192649010794474,-0.3148785594213195,417.87029230300004,0.11967565169657544,0.4262938697609854,-0.30661821806441,0.3630556452973106,0.529914295180515,-0.16685864988320442
CB5.3,2004,54.066619254,190.00818748,50.008899556,220.83434868,4.057719698,-30.8261612,0.08113995176910786,-0.13958952212035025,417.87029230300004,0.12938612830317212,0.11967565169657544,0.009710476606596682,0.3123768812671636,0.3630556452973106,-0.050678764030146976
CB5.3,2005,72.436992035,300.03826172,54.066619254,190.00818748,18.370372781,110.03007423999998,0.3397729141283586,0.5790807001492059,417.87029230300004,0.1733480301645266,0.12938612830317212,0.043961901861354485,0.4932683043817781,0.3123768812671636,0.18089142311461448
CB5.3,2006,80.036733005,332.37190994,72.436992035,300.03826172,7.599740969999999,32.33364822000004,0.104915192590106,0.10776508314187698,417.87029230300004,0.1915348721343534,0.1733480301645266,0.01818684196982681,0.5464254042147331,0.4932683043817781,0.053157099832955
CB5.3,2007,96.1938803625,267.55972207,80.036733005,332.37190994,16.157147357499994,-64.81218787,0.20187165006461016,-0.1949989933917699,417.87029230300004,0.23020033281702948,0.1915348721343534,0.038665460682676046,0.43987300042916916,0.5464254042147331,-0.10655240378556394
CB5.3,2008,145.548760572,350.39095848,96.1938803625,267.55972207,49.354880209499996,82.83123640999997,0.5130771315546222,0.3095803649711123,417.87029230300004,0.3483108592617103,0.23020033281702948,0.11811052644468083,0.5760490444429696,0.43987300042916916,0.13617604401380043
CB5.3,2009,140.005724915,355.73719498,145.548760572,350.39095848,-5.54303565699999,5.346236500000032,-0.03808370222608638,0.015257917964527587,417.87029230300004,0.33504589221547504,0.3483108592617103,-0.013264967046235258,0.5848383535066249,0.5760490444429696,0.008789309063655337
CB5.3,2010,131.34541532,316.65237124,140.005724915,355.73719498,-8.660309595000001,-39.08482374000005,-0.061856824785256684,-0.10986993851513739,417.87029230300004,0.3143210171656824,0.33504589221547504,-0.020724875049792636,0.5205821995655578,0.5848383535066249,-0.06425615394106707
CB5.3,2011,105.22655944750001,306.35385521,131.34541532,316.65237124,-26.118855872499992,-10.298516029999973,-0.19885624335547605,-0.032523097773344736,417.87029230300004,0.2518163204844427,0.3143210171656824,-0.0625046966812397,0.5036512537900244,0.5205821995655578,-0.016930945775533498
CB5.3,2012,55.176562248,128.90910362,105.22655944750001,306.35385521,-50.049997199500005,-177.44475159,-0.47564034652744797,-0.5792150109172443,417.87029230300004,0.13204231854795548,0.2518163204844427,-0.11977400193648721,0.21192888732755166,0.5036512537900244,-0.29172236646247274
CB5.3,2013,103.3671557775,241.64999039000003,55.176562248,128.90910362,48.1905935295,112.74088677000003,0.8733888369648614,0.8745766094405493,417.87029230300004,0.24736660557469808,0.13204231854795548,0.11532428702674258,0.39727693504899,0.21192888732755166,0.1853480477214383
CB5.3,2014,174.109110249,321.0692238,103.3671557775,241.64999039000003,70.7419544715,79.41923340999995,0.6843755537181806,0.3286539895235455,417.87029230300004,0.41665826323626887,0.24736660557469808,0.16929165766157078,0.527843584698527,0.39727693504899,0.13056664964953704
CB5.3,2015,169.6615438635,349.90442381,174.109110249,321.0692238,-4.447566385500011,28.83520001000005,-0.025544708023258395,0.08980991596990323,417.87029230300004,0.4060148495564204,0.41665826323626887,-0.010643413679848425,0.5752491726855542,0.527843584698527,0.04740558798702721
CB5.3,2016,210.721512448,355.10391398,169.6615438635,349.90442381,41.05996858450001,5.19949016999999,0.2420110512346541,0.014859744022051407,417.87029230300004,0.5042749301144497,0.4060148495564204,0.09826008055802925,0.5837972281405585,0.5752491726855542,0.008548055455004182
CB5.3,2017,104.401563955,318.81368937999997,210.721512448,355.10391398,-106.319948493,-36.290224600000045,-0.5045519427886448,-0.10219607042135831,417.87029230300004,0.249842034425596,0.5042749301144497,-0.25443289568885363,0.5241354455017121,0.5837972281405585,-0.05966178263884629
CB5.3,2018,118.2597576015,321.23631149,104.401563955,318.81368937999997,13.858193646499998,2.4226221100000203,0.13273932996322993,0.007598864762398743,417.87029230300004,0.28300589867189985,0.249842034425596,0.03316386424630384,0.5281182798692593,0.5241354455017121,0.0039828343675471275
CB5.3,2019,64.17182401250001,199.60070859,118.2597576015,321.23631149,-54.08793358899999,-121.63560289999998,-0.45736550358288525,-0.37864836118872713,417.87029230300004,0.15356876330889938,0.28300589867189985,-0.12943713536300047,0.3281471586829547,0.5281182798692593,-0.19997112118630458
CB5.4W,1984,11.8200609505,57.85864291,NA,NA,NA,NA,NA,NA,197.05728483800002,0.059982867216592496,NA,NA,0.13594135364630072,NA,NA
CB5.4W,1985,4.51124158,10.88788096,11.8200609505,57.85864291,-7.3088193705,-46.970761949999996,-0.618340243853889,-0.8118192820917651,197.05728483800002,0.022893046474829253,0.059982867216592496,-0.037089820741763244,0.0255815415225781,0.13594135364630072,-0.1103598121237226
CB5.4W,1986,11.588152090500001,27.81524445,4.51124158,10.88788096,7.076910510500001,16.92736349,1.5687278956362167,1.5546977003319478,197.05728483800002,0.05880600709599025,0.022893046474829253,0.035912960621161,0.06535310529867651,0.0255815415225781,0.03977156377609841
CB5.4W,1987,7.2224452679999995,27.31536582,11.588152090500001,27.81524445,-4.365706822500002,-0.4998786300000013,-0.3767388267262233,-0.017971390864407855,197.05728483800002,0.036651500978192926,0.05880600709599025,-0.02215450611779733,0.0641786190991512,0.06535310529867651,-0.0011744861995253196
CB5.4W,1989,26.425703647,36.58277752,7.2224452679999995,27.31536582,19.203258378999998,9.2674117,2.6588305852704175,0.3392746691027109,197.05728483800002,0.13410163277508091,0.036651500978192926,0.09745013179688798,0.08595279885748464,0.0641786190991512,0.021774179758333446
CB5.4W,1990,2.1031567575,28.84677831,26.425703647,36.58277752,-24.3225468895,-7.735999209999999,-0.9204124595660952,-0.21146560579689958,197.05728483800002,0.010672819120739415,0.13410163277508091,-0.12342881365434151,0.06777673817714759,0.08595279885748464,-0.018176060680337048
CB5.4W,1991,0.6242179715,6.94143479,2.1031567575,28.84677831,-1.4789387859999998,-21.905343520000002,-0.7031995027122936,-0.7593688031500666,197.05728483800002,0.0031676980224971995,0.010672819120739415,-0.007505121098242216,0.0163091976261516,0.06777673817714759,-0.051467540550996
CB5.4W,1992,0.6564386515,3.13955763,0.6242179715,6.94143479,0.03222068,-3.8018771599999996,0.051617674387960166,-0.5477076822038401,197.05728483800002,0.0033312072275818454,0.0031676980224971995,1.6350920508464577e-4,0.007376524795727735,0.0163091976261516,-0.008932672830423864
CB5.4W,1993,4.4972981,17.9891924,0.6564386515,3.13955763,3.8408594485,14.84963477,5.851056210239015,4.729849399197045,197.05728483800002,0.022822287964117696,0.0033312072275818454,0.019491080736535847,0.04226637616896267,0.007376524795727735,0.034889851373234936
CB5.4W,1994,0,0,4.4972981,17.9891924,-4.4972981,-17.9891924,-1,-1,197.05728483800002,0,0.022822287964117696,-0.022822287964117696,0,0.04226637616896267,-0.04226637616896267
CB5.4W,1995,0.03351589,0.6703178,0,0,0.03351589,0.6703178,Inf,Inf,197.05728483800002,1.7008196386930467e-4,0,1.7008196386930467e-4,0.0015749403118036297,0,0.0015749403118036297
CB5.4W,1996,2.31620768,9.26483072,0.03351589,0.6703178,2.2826917900000003,8.594512920000001,68.10774799654732,12.821549599309465,197.05728483800002,0.011753981497837773,1.7008196386930467e-4,0.01158389953396847,0.02176811563554578,0.0015749403118036297,0.020193175323742152
CB5.4W,1997,0.027386870000000004,0.5477374,2.31620768,9.26483072,-2.2888208100000003,-8.71709332,-0.9881759868786896,-0.9408799343934477,197.05728483800002,1.389792314580739e-4,0.011753981497837773,-0.0116150022663797,0.0012869324245044806,0.02176811563554578,-0.0204811832110413
CB5.4W,1998,0.0596116495,1.19223299,0.027386870000000004,0.5477374,0.032224779499999995,0.6444955899999999,1.1766506906411718,1.176650690641172,197.05728483800002,3.025092401379959e-4,1.389792314580739e-4,1.6353000867992196e-4,0.0028012023506061956,0.0012869324245044806,0.001514269926101715
CB5.4W,1999,7.263103105500001,13.20564201,0.0596116495,1.19223299,7.203491456000001,12.013409020000001,120.84033098262111,10.07639372569283,197.05728483800002,0.03685782594371463,3.025092401379959e-4,0.03655531670357664,0.031027220140650468,0.0028012023506061956,0.028226017790044276
CB5.4W,2000,6.1070309775,25.46605083,7.263103105500001,13.20564201,-1.1560721280000008,12.26040882,-0.15917055165092764,0.9284220192184356,197.05728483800002,0.0309911454555997,0.03685782594371463,-0.00586668048811493,0.05983357451436809,0.031027220140650468,0.02880635437371762
CB5.4W,2001,40.548537138,83.50742792,6.1070309775,25.46605083,34.4415061605,58.04137709,5.639648183772455,2.279166780803916,197.05728483800002,0.20577030263730056,0.0309911454555997,0.17477915718170084,0.19620426992427165,0.05983357451436809,0.13637069540990354
CB5.4W,2002,52.2715272475,115.28635031,40.548537138,83.50742792,11.722990109500003,31.778922390000005,0.2891100625801324,0.38055204407018944,197.05728483800002,0.2652605677099033,0.20577030263730056,0.059490265072602744,0.2708702058992524,0.19620426992427165,0.07466593597498077
