SUBEST_ID,Year,Density,SAVAreaHa,NDPD
EAS03,1985,1,3.27 ,
EAS03,1985,2,8.75 ,
EAS03,1985,3,53.33 ,
EAS03,1985,4,13.29 ,
EAS04,1985,1,5.33 ,
EAS04,1985,2,30.37 ,
EAS04,1985,3,32.37 ,
EAS04,1985,4,56.32 ,
ELK01,1985,1,0.00 ,
ELK01,1985,2,0.00 ,
ELK01,1985,3,0.00 ,
ELK01,1985,4,0.00 ,
ELK02,1985,1,0.00 ,
ELK02,1985,2,0.00 ,
ELK02,1985,3,0.00 ,
ELK02,1985,4,0.00 ,
FSB01,1985,1,0.00 ,
FSB01,1985,2,0.00 ,
FSB01,1985,3,0.00 ,
FSB01,1985,4,0.00 ,
GUN01,1985,1,0.00 ,
GUN01,1985,2,0.00 ,
GUN01,1985,3,0.00 ,
GUN01,1985,4,0.00 ,
HNG01,1985,1,50.31 ,
HNG01,1985,2,181.14 ,
HNG01,1985,3,226.10 ,
HNG01,1985,4,170.58 ,
JMS01,1985,1,0.00 ,
JMS01,1985,2,0.00 ,
JMS01,1985,3,0.00 ,
JMS01,1985,4,0.00 ,
JMS02,1985,1,0.00 ,
JMS02,1985,2,0.00 ,
JMS02,1985,3,0.00 ,
JMS02,1985,4,0.00 ,
JMS03,1985,1,0.00 ,
JMS03,1985,2,0.00 ,
JMS03,1985,3,0.00 ,
JMS03,1985,4,0.00 ,
JMS04,1985,1,0.00 ,
JMS04,1985,2,0.00 ,
JMS04,1985,3,0.00 ,
JMS04,1985,4,0.00 ,
JMS05,1985,1,0.00 ,
JMS05,1985,2,0.00 ,
JMS05,1985,3,0.00 ,
JMS05,1985,4,0.00 ,
JMS06,1985,1,0.00 ,
JMS06,1985,2,0.00 ,
JMS06,1985,3,0.00 ,
JMS06,1985,4,0.00 ,
JMS07,1985,1,0.00 ,
JMS07,1985,2,0.00 ,
JMS07,1985,3,0.00 ,
JMS07,1985,4,0.00 ,
LCH01,1985,1,11.55 ,
LCH01,1985,2,65.40 ,
LCH01,1985,3,198.72 ,
LCH01,1985,4,32.51 ,
LYN01,1985,1,0.00 ,
LYN01,1985,2,2.61 ,
LYN01,1985,3,26.88 ,
LYN01,1985,4,4.48 ,
MAG01,1985,1,0.00 ,
MAG01,1985,2,0.00 ,
MAG01,1985,3,0.00 ,
MAG01,1985,4,0.00 ,
MAN01,1985,1,0.00 ,
MAN01,1985,2,1.10 ,
MAN01,1985,3,0.28 ,
MAN01,1985,4,1.46 ,
MID01,1985,1,0.00 ,
MID01,1985,2,0.00 ,
MID01,1985,3,0.00 ,
MID01,1985,4,0.00 ,
MNB01,1985,1,0.00 ,
MNB01,1985,2,0.00 ,
MNB01,1985,3,0.00 ,
MNB01,1985,4,0.00 ,
MOB01,1985,1,0.00 ,
MOB01,1985,2,0.00 ,
MOB01,1985,3,0.00 ,
MOB01,1985,4,0.00 ,
MOB02,1985,1,0.00 ,
MOB02,1985,2,0.00 ,
MOB02,1985,3,0.00 ,
MOB02,1985,4,0.00 ,
MOB03,1985,1,0.00 ,
MOB03,1985,2,0.00 ,
MOB03,1985,3,0.00 ,
MOB03,1985,4,0.00 ,
MOB04,1985,1,0.00 ,
MOB04,1985,2,0.00 ,
MOB04,1985,3,0.00 ,
MOB04,1985,4,0.00 ,
NAN01,1985,1,0.00 ,
NAN01,1985,2,0.00 ,
NAN01,1985,3,0.00 ,
NAN01,1985,4,0.00 ,
NAN02,1985,1,0.00 ,
NAN02,1985,2,0.00 ,
NAN02,1985,3,0.00 ,
NAN02,1985,4,0.00 ,
NAN03,1985,1,0.00 ,
NAN03,1985,2,0.00 ,
NAN03,1985,3,0.00 ,
NAN03,1985,4,0.00 ,
NAN04,1985,1,0.00 ,
NAN04,1985,2,0.00 ,
NAN04,1985,3,0.00 ,
NAN04,1985,4,0.00 ,
NAN05,1985,1,0.00 ,
NAN05,1985,2,0.00 ,
NAN05,1985,3,0.00 ,
NAN05,1985,4,0.00 ,
NOR01,1985,1,0.00 ,
NOR01,1985,2,0.00 ,
NOR01,1985,3,0.00 ,
NOR01,1985,4,0.00 ,
PAT01,1985,1,0.00 ,
PAT01,1985,2,0.00 ,
PAT01,1985,3,0.00 ,
PAT01,1985,4,0.00 ,
PAT02,1985,1,0.00 ,
PAT02,1985,2,0.00 ,
PAT02,1985,3,0.00 ,
PAT02,1985,4,0.00 ,
PAT05,1985,1,0.00 ,
PAT05,1985,2,0.00 ,
PAT05,1985,3,0.00 ,
PAT05,1985,4,0.00 ,
PAT06,1985,1,0.00 ,
PAT06,1985,2,0.00 ,
PAT06,1985,3,0.00 ,
PAT06,1985,4,0.00 ,
PAT07,1985,1,0.00 ,
PAT07,1985,2,0.00 ,
PAT07,1985,3,0.00 ,
PAT07,1985,4,0.00 ,
PAT08,1985,1,0.00 ,
PAT08,1985,2,0.00 ,
PAT08,1985,3,0.00 ,
PAT08,1985,4,0.00 ,
PAT11,1985,1,0.00 ,
PAT11,1985,2,0.00 ,
PAT11,1985,3,0.00 ,
PAT11,1985,4,0.00 ,
PAX01,1985,1,0.64 ,
PAX01,1985,2,0.15 ,
PAX01,1985,3,0.00 ,
PAX01,1985,4,0.00 ,
PAX02,1985,1,0.00 ,
PAX02,1985,2,0.16 ,
PAX02,1985,3,0.82 ,
PAX02,1985,4,0.00 ,
PAX03,1985,1,0.00 ,
PAX03,1985,2,0.00 ,
PAX03,1985,3,0.00 ,
PAX03,1985,4,0.00 ,
PAX04,1985,1,0.00 ,
PAX04,1985,2,0.00 ,
PAX04,1985,3,0.00 ,
